ID,Name,Height,Image,Category,Source
76,Adele,173,https://www.celebheights.com/tr/a/adele.jpg,[Music],[Celeb Heights]
77,Drake,182,https://www.celebheights.com/tr/d/drake.jpg,[Music],[Celeb Heights]
79,Ed Sheeran,172,https://www.celebheights.com/tr/e/edsheeran.jpg,[Music],[Celeb Heights]
80,Kylie Jenner,168,https://www.celebheights.com/tr/k/kyliejenner.jpg,[Influencers],[Celeb Heights]
81,Kanye West,173,https://www.celebheights.com/tr/k/kanyewest.jpg,[Music],[Celeb Heights]
82,Bill Cosby,183,https://www.celebheights.com/tr/b/billcosby.jpg,"[Canceled,Comedy]",[Celeb Heights]
83,Mike Tyson,178,https://www.celebheights.com/tr/m/miketyson.jpg,[Sports],[Celeb Heights]
84,Arnold Schwarzenegger,187,https://www.celebheights.com/tr/a/arnoldschwarzenegger.jpg,"[Acting,Politics,Sports]",[Celeb Heights]
85,Prince,157,https://www.celebheights.com/tr/p/prince.jpg,[Music],[Celeb Heights]
86,Elon Musk,187,https://www.celebheights.com/tr/e/elonmusk.jpg,"[Wealth,Tech]",[Celeb Heights]
87,Jeff Bezos,173,https://www.celebheights.com/tr/j/jeffbezos.jpg,"[Tech,Wealth]",[Celeb Heights]
90,Selena Gomez,164,https://www.celebheights.com/tr/s/selenagomez.jpg,"[Music,Acting]",[Celeb Heights]
91,Pewdiepie,176,https://www.celebheights.com/tr/p/pewdiepie.jpg,[Influencers],[Celeb Heights]
92,Mr. Beast,189,https://www.celebheights.com/tr/m/mrbeast.jpg,[Influencers],[Celeb Heights]
93,Markiplier,175,https://www.celebheights.com/tr/m/markiplier.jpg,[Influencers],[Celeb Heights]
94,Charli D’Amelio,160,https://www.celebheights.com/tr/c/charlidamelio.jpg,[Influencers],[Celeb Heights]
95,Addison Rae,160,https://www.celebheights.com/tr/a/addisonrae.jpg,[Influencers],[Celeb Heights]
96,Bella Poarch,151,https://www.celebheights.com/tr/b/bellapoarch.jpg,[Influencers],[Celeb Heights]
98,James Charles,174,https://www.celebheights.com/tr/j/jamescharles.jpg,[Influencers],[Celeb Heights]
100,Lele Pons,166,https://www.celebheights.com/tr/l/lelepons.jpg,[Influencers],[Celeb Heights]
101,Jake Paul,180,https://www.celebheights.com/tr/j/jakepaul.jpg,[Influencers],[Celeb Heights]
102,Logan Paul,187,https://www.celebheights.com/tr/l/loganpaul.jpg,[Influencers],[Celeb Heights]
103,Shane Dawson,178,https://www.celebheights.com/tr/s/shanedawson.jpg,[Influencers],[Celeb Heights]
104,Jacksepticeye,173,https://www.celebheights.com/tr/j/jacksepticeye.jpg,[Influencers],[Celeb Heights]
105,Will Smith,187,https://www.celebheights.com/tr/w/willsmith.jpg,[Acting],[Celeb Heights]
106,Michelle Obama,180,https://www.celebheights.com/tr/m/michelleobama.jpg,[Politics],[Celeb Heights]
107,Bill Gates,177,https://www.celebheights.com/tr/b/billgates.jpg,"[Wealth,Tech]",[Celeb Heights]
109,Adam Sandler,177,https://www.celebheights.com/tr/a/adamsandler.jpg,"[Acting,Comedy]",[Celeb Heights]
110,Morgan Freeman,189,https://www.celebheights.com/tr/m/morganfreeman.jpg,[Acting],[Celeb Heights]
111,Jim Carrey,187,https://www.celebheights.com/tr/j/jimcarrey.jpg,"[Acting,Comedy]",[Celeb Heights]
112,Jackie Chan,174,https://www.celebheights.com/tr/j/jackiechan.jpg,"[Acting,Sports]",[Celeb Heights]
113,Justin Timberlake,182,https://www.celebheights.com/tr/j/justintimberlake.jpg,[Music],[Celeb Heights]
114,Pope Francis I,175,https://www.celebheights.com/tr/p/popefrancis.jpg,[Politics],[Celeb Heights]
115,Alec Baldwin,182,https://www.celebheights.com/tr/a/alecbaldwin.jpg,[Acting],[Celeb Heights]
116,Whoopi Goldberg,163,https://www.celebheights.com/tr/w/whoopigoldberg.jpg,"[Acting,Comedy]",[Celeb Heights]
117,Danny DeVito,147,https://www.celebheights.com/tr/d/dannydevito.jpg,"[Acting,Comedy]",[Celeb Heights]
118,Keanu Reeves,185,https://www.celebheights.com/tr/k/keanureeves.jpg,[Acting],[Celeb Heights]
119,Tim Allen,179,https://www.celebheights.com/tr/t/timallen.jpg,[Acting],[Celeb Heights]
120,Jimmy Fallon,182,https://www.celebheights.com/tr/j/jimmyfallon.jpg,"[Acting,Comedy]",[Celeb Heights]
121,Mark Zuckerberg,171,https://www.celebheights.com/tr/m/markzuckerberg.jpg,"[Tech,Wealth]",[Celeb Heights]
122,Chris Rock,178,https://www.celebheights.com/tr/c/chrisrock.jpg,"[Acting,Comedy]",[Celeb Heights]
123,Vladimir Putin,169,https://www.celebheights.com/tr/v/vladimirputin.jpg,[Politics],[Celeb Heights]
124,Jimmy Kimmel,181,https://www.celebheights.com/tr/j/jimmykimmel.jpg,"[Acting,Comedy]",[Celeb Heights]
125,Bernie Sanders,183,https://www.celebheights.com/tr/b/berniesanders.jpg,[Politics],[Celeb Heights]
126,Stevie Wonder,183,https://www.celebheights.com/tr/s/steviewonder.jpg,[Music],[Celeb Heights]
127,George W. Bush,180,https://www.celebheights.com/tr/g/georgewbush.jpg,[Presidents],[Celeb Heights]
