ID,Name,Height,Image,Category,Source
22,Al Capone,179.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Al_Capone_in_1929.jpg/203px-Al_Capone_in_1929.jpg,"[Historical,Wealth]",[IMDb]
23,Saddam Hussein,184.0,https://www.celebheights.com/tr/s/saddamhussein.jpg,"[Historical,Politics]",[Celeb Heights]
24,Richard Nixon,179.0,https://www.celebheights.com/tr/r/richardnixon.jpg,[Presidents],[Celeb Heights]
25,Kim Jong-un,169.0,https://www.celebheights.com/tr/k/kimjongun.jpg,[Politics],[Celeb Heights]
26,Dolly the Sheep,65.0,https://source.colostate.edu/wp-content/uploads/2017/02/DollySquarejpg-e1487354632788.jpg,[Other],[Google]
27,Babe Ruth,187.0,https://www.celebheights.com/tr/b/baberuth.jpg,[Sports],[Celeb Heights]
28,Michael Jordan,195.0,https://www.celebheights.com/tr/m/michaeljordan.jpg,[Sports],[Celeb Heights]
29,Bruce Lee,171.0,https://www.celebheights.com/tr/b/brucelee.jpg,[Acting],[Celeb Heights]
30,Taylor Swift,176.0,https://www.celebheights.com/tr/t/taylorswift.jpg,[Music],[Celeb Heights]
31,Frederick Douglass,182.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Frederick_Douglass_c1860s.jpg/250px-Frederick_Douglass_c1860s.jpg,"[Historical,Writers]",[IMDb]
32,Amelia Earhart,173.0,https://upload.wikimedia.org/wikipedia/commons/7/79/Amelia_Earhart_1928_%28cropped%29.jpg,[Historical],[Google]
33,Barack Obama,185.0,https://www.celebheights.com/tr/b/barackobama.jpg,[Presidents],[Celeb Heights]
34,Greta Thunberg,149.0,https://www.celebheights.com/tr/g/gretathunberg.jpg,[Influencers],[Celeb Heights]
35,Kendrick Lamar,164.0,https://www.celebheights.com/tr/k/kendricklamar.jpg,[Music],[Celeb Heights]
36,Rihanna,173.0,https://www.celebheights.com/tr/r/rihanna.jpg,[Music],[Celeb Heights]
37,Andrew Carnegie,160.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Andrew_Carnegie%2C_three-quarter_length_portrait%2C_seated%2C_facing_slightly_left%2C_1913-crop.jpg/250px-Andrew_Carnegie%2C_three-quarter_length_portrait%2C_seated%2C_facing_slightly_left%2C_1913-crop.jpg,"[Historical,Wealth]",[IMDb]
39,John D. Rockefeller,180.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Portrait_of_J._D._Rockefeller_%28cropped%29.jpg/250px-Portrait_of_J._D._Rockefeller_%28cropped%29.jpg,"[Historical,Wealth]",[IMDb]
40,Albert Einstein,171.0,https://www.celebheights.com/tr/a/alberteinstein.jpg,"[Historical,Scientists]",[Celeb Heights]
41,Martin Luther King Jr.,169.0,https://www.celebheights.com/tr/m/martinlutherkingjr.jpg,"[Influencers,Historical,Writers]",[Celeb Heights]
42,Joe Biden,184.0,https://www.celebheights.com/tr/j/joebiden.jpg,[Presidents],[Celeb Heights]
43,Oprah Winfrey,168.0,https://www.celebheights.com/tr/o/oprahwinfrey.jpg,[Influencers],[Celeb Heights]
44,Leonardo DiCaprio,181.0,https://www.celebheights.com/tr/l/leonardodicaprio.jpg,[Acting],[Celeb Heights]
45,Jerry Seinfeld,180.0,https://www.celebheights.com/tr/j/jerryseinfeld.jpg,[Acting],[Celeb Heights]
46,Steven Spielberg,171.0,https://www.celebheights.com/tr/s/stevenspielberg.jpg,[Filmmakers],[Celeb Heights]
47,Tom Hanks,183.0,https://www.celebheights.com/tr/t/tomhanks.jpg,[Acting],[Celeb Heights]
48,Tiger Woods,183.0,https://www.celebheights.com/tr/t/tigerwoods.jpg,[Sports],[Celeb Heights]
49,Tom Cruise,172.0,https://www.celebheights.com/tr/t/tomcruise.jpg,[Acting],[Celeb Heights]
50,Britney Spears,163.0,https://www.celebheights.com/tr/b/britneyspears.jpg,[Music],[Celeb Heights]
51,Mel Gibson,177.0,https://www.celebheights.com/tr/m/melgibson.jpg,[Acting],[Celeb Heights]
52,Mariah Carey,170.0,https://www.celebheights.com/tr/m/mariahcarey.jpg,[Music],[Celeb Heights]
53,Jennifer Aniston,164.0,https://www.celebheights.com/tr/j/jenniferaniston.jpg,[Acting],[Celeb Heights]
54,Jennifer Lopez,164.0,https://www.celebheights.com/tr/j/jenniferlopez.jpg,[Music],[Celeb Heights]
55,Ben Affleck,189.0,https://www.celebheights.com/tr/b/benaffleck.jpg,[Acting],[Celeb Heights]
56,J.K. Rowling,163.0,https://www.celebheights.com/tr/j/jkrowling.jpg,[Writers],[Celeb Heights]
57,Johnny Depp,175.0,https://www.celebheights.com/tr/j/johnnydepp.jpg,[Acting],[Celeb Heights]
58,Shaquille O'Neal,214.0,https://www.celebheights.com/tr/s/shaquilleoneal.jpg,"[Sports,Influencers]",['Celeb Heights']
59,Elton John,171.0,https://www.celebheights.com/tr/e/eltonjohn.jpg,[Music],[Celeb Heights]
60,Curtis Jackson 50 Cent,182.0,https://www.celebheights.com/tr/c/curtisjackson50cent.jpg,[Music],['Celeb Heights']
61,Dan Brown,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Dan_Brown_November_2015.jpg/250px-Dan_Brown_November_2015.jpg,[Writers],[IMDb]
62,Brad Pitt,180.0,https://www.celebheights.com/tr/b/bradpitt.jpg,[Acting],[Celeb Heights]
63,Jay-Z,187.0,https://www.celebheights.com/tr/j/jayz.jpg,[Music],[Celeb Heights]
64,Beyonce Knowles,168.0,https://www.celebheights.com/tr/b/beyonceknowles.jpg,[Music],['Celeb Heights']
65,Kobe Bryant,195.0,https://www.celebheights.com/tr/k/kobebryant.jpg,[Sports],[Celeb Heights]
66,Lady Gaga,156.0,https://www.celebheights.com/tr/l/ladygaga.jpg,[Music],[Celeb Heights]
67,Justin Bieber,171.0,https://www.celebheights.com/tr/j/justinbieber.jpg,[Music],[Celeb Heights]
68,Simon Cowell,173.0,https://www.celebheights.com/tr/s/simoncowell.jpg,[Acting],[Celeb Heights]
69,LeBron James,202.0,https://www.celebheights.com/tr/l/lebronjames.jpg,[Sports],[Celeb Heights]
70,Kim Kardashian,157.0,https://www.celebheights.com/tr/k/kimkardashian.jpg,"[Influencers,Wealth]",[Celeb Heights]
71,Katy Perry,170.0,https://www.celebheights.com/tr/k/katyperry.jpg,[Music],[Celeb Heights]
72,Ellen DeGeneres,170.0,https://www.celebheights.com/tr/e/ellendegeneres.jpg,"[Acting,Comedy]",[Celeb Heights]
73,Dr. Dre,184.0,https://www.celebheights.com/tr/d/drdre.jpg,[Music],[Celeb Heights]
74,Robert Downey Jr.,172.0,https://www.celebheights.com/tr/r/robertdowneyjr.jpg,[Acting],[Celeb Heights]
75,Kevin Hart,159.0,https://www.celebheights.com/tr/k/kevinhart.jpg,"[Acting,Comedy]",[Celeb Heights]
76,Adele,173.0,https://www.celebheights.com/tr/a/adele.jpg,[Music],[Celeb Heights]
77,Drake,182.0,https://www.celebheights.com/tr/d/drake.jpg,[Music],[Celeb Heights]
78,Dwayne Johnson The Rock,191.0,https://www.celebheights.com/tr/d/dwaynejohnsontherock.jpg,"[Acting,Sports,Music]",['Celeb Heights']
79,Ed Sheeran,172.0,https://www.celebheights.com/tr/e/edsheeran.jpg,[Music],[Celeb Heights]
80,Kylie Jenner,168.0,https://www.celebheights.com/tr/k/kyliejenner.jpg,[Influencers],[Celeb Heights]
81,Kanye West,173.0,https://www.celebheights.com/tr/k/kanyewest.jpg,[Music],[Celeb Heights]
82,Bill Cosby,183.0,https://www.celebheights.com/tr/b/billcosby.jpg,"[Canceled,Comedy]",[Celeb Heights]
83,Mike Tyson,178.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/David_Hasselhoff_1982.jpg/185px-David_Hasselhoff_1982.jpg,[Sports],[Celeb Heights]
84,Arnold Schwarzenegger,187.0,https://www.celebheights.com/tr/a/arnoldschwarzenegger.jpg,"[Acting,Politics,Sports]",[Celeb Heights]
85,Prince,157.0,https://www.celebheights.com/tr/p/prince.jpg,[Music],[Celeb Heights]
86,Elon Musk,187.0,https://www.celebheights.com/tr/e/elonmusk.jpg,"[Wealth,Tech]",[Celeb Heights]
87,Jeff Bezos,173.0,https://www.celebheights.com/tr/j/jeffbezos.jpg,"[Tech,Wealth]",[Celeb Heights]
88,Tim Cook,180.0,https://upload.wikimedia.org/wikipedia/commons/a/ab/Steven_Mnuchin_and_Tim_Cook_at_Apple_HQ_%28cropped%29.jpg,[Tech],[IMDb]
90,Selena Gomez,164.0,https://www.celebheights.com/tr/s/selenagomez.jpg,"[Music,Acting]",[Celeb Heights]
91,Pewdiepie,176.0,https://www.celebheights.com/tr/p/pewdiepie.jpg,[Influencers],[Celeb Heights]
92,Mr. Beast,189.0,https://www.celebheights.com/tr/m/mrbeast.jpg,[Influencers],[Celeb Heights]
93,Markiplier,175.0,https://www.celebheights.com/tr/m/markiplier.jpg,[Influencers],[Celeb Heights]
94,Charli DAmelio,160.0,https://www.celebheights.com/tr/c/charlidamelio.jpg,[Influencers],[Celeb Heights]
95,Addison Rae,160.0,https://www.celebheights.com/tr/a/addisonrae.jpg,[Influencers],[Celeb Heights]
96,Bella Poarch,151.0,https://www.celebheights.com/tr/b/bellapoarch.jpg,[Influencers],[Celeb Heights]
98,James Charles,174.0,https://www.celebheights.com/tr/j/jamescharles.jpg,[Influencers],[Celeb Heights]
100,Lele Pons,166.0,https://www.celebheights.com/tr/l/lelepons.jpg,[Influencers],[Celeb Heights]
101,Jake Paul,180.0,https://www.celebheights.com/tr/j/jakepaul.jpg,[Influencers],[Celeb Heights]
102,Logan Paul,187.0,https://www.celebheights.com/tr/l/loganpaul.jpg,[Influencers],[Celeb Heights]
103,Shane Dawson,178.0,https://www.celebheights.com/tr/s/shanedawson.jpg,[Influencers],[Celeb Heights]
104,Jacksepticeye,173.0,https://www.celebheights.com/tr/j/jacksepticeye.jpg,[Influencers],[Celeb Heights]
105,Will Smith,187.0,https://www.celebheights.com/tr/w/willsmith.jpg,[Acting],[Celeb Heights]
106,Michelle Obama,180.0,https://www.celebheights.com/tr/m/michelleobama.jpg,[Politics],[Celeb Heights]
107,Bill Gates,177.0,https://www.celebheights.com/tr/b/billgates.jpg,"[Wealth,Tech]",[Celeb Heights]
108,Hillary Rodham Clinton,166.0,https://www.celebheights.com/tr/h/hillaryrodhamclinton.jpg,[Politics],['Celeb Heights']
109,Adam Sandler,177.0,https://www.celebheights.com/tr/a/adamsandler.jpg,"[Acting,Comedy]",[Celeb Heights]
110,Morgan Freeman,189.0,https://www.celebheights.com/tr/m/morganfreeman.jpg,[Acting],[Celeb Heights]
111,Jim Carrey,187.0,https://www.celebheights.com/tr/j/jimcarrey.jpg,"[Acting,Comedy]",[Celeb Heights]
112,Jackie Chan,174.0,https://www.celebheights.com/tr/j/jackiechan.jpg,"[Acting,Sports]",[Celeb Heights]
113,Justin Timberlake,182.0,https://www.celebheights.com/tr/j/justintimberlake.jpg,[Music],[Celeb Heights]
114,Pope Francis I,175.0,https://www.celebheights.com/tr/p/popefrancis.jpg,[Politics],[Celeb Heights]
115,Alec Baldwin,182.0,https://www.celebheights.com/tr/a/alecbaldwin.jpg,[Acting],[Celeb Heights]
116,Whoopi Goldberg,163.0,https://www.celebheights.com/tr/w/whoopigoldberg.jpg,"[Acting,Comedy]",[Celeb Heights]
117,Danny DeVito,147.0,https://www.celebheights.com/tr/d/dannydevito.jpg,"[Acting,Comedy]",[Celeb Heights]
118,Keanu Reeves,185.0,https://www.celebheights.com/tr/k/keanureeves.jpg,[Acting],[Celeb Heights]
119,Tim Allen,179.0,https://www.celebheights.com/tr/t/timallen.jpg,[Acting],[Celeb Heights]
120,Jimmy Fallon,182.0,https://www.celebheights.com/tr/j/jimmyfallon.jpg,"[Acting,Comedy]",[Celeb Heights]
